Scenario: "/a*b/" X "a".repeat(N) -> false
(N=1) | pass | 0.07 ms | _match total=6 | byType={ Any:2, Lit:4 }
(N=2) | pass | 0.01 ms | _match total=12 | byType={ Any:3, Lit:9 }
(N=3) | pass | 0.02 ms | _match total=20 | byType={ Any:4, Lit:16 }
(N=4) | pass | 0.01 ms | _match total=30 | byType={ Any:5, Lit:25 }
(N=6) | pass | 0.01 ms | _match total=56 | byType={ Any:7, Lit:49 }
(N=8) | pass | 0.02 ms | _match total=90 | byType={ Any:9, Lit:81 }
(N=10) | pass | 0.02 ms | _match total=132 | byType={ Any:11, Lit:121 }
(N=12) | pass | 0.05 ms | _match total=182 | byType={ Any:13, Lit:169 }
(N=16) | pass | 0.05 ms | _match total=306 | byType={ Any:17, Lit:289 }
(N=20) | pass | 0.09 ms | _match total=462 | byType={ Any:21, Lit:441 }
(N=24) | pass | 0.12 ms | _match total=650 | byType={ Any:25, Lit:625 }
(N=32) | pass | 0.17 ms | _match total=1122 | byType={ Any:33, Lit:1089 }
(N=40) | pass | 0.15 ms | _match total=1722 | byType={ Any:41, Lit:1681 }
(N=48) | pass | 0.13 ms | _match total=2450 | byType={ Any:49, Lit:2401 }
(N=64) | pass | 0.20 ms | _match total=4290 | byType={ Any:65, Lit:4225 }
(N=80) | pass | 2.36 ms | _match total=6642 | byType={ Any:81, Lit:6561 }
(N=96) | pass | 2.72 ms | _match total=9506 | byType={ Any:97, Lit:9409 }
(N=128) | pass | 0.61 ms | _match total=16770 | byType={ Any:129, Lit:16641 }
(N=160) | pass | 1.00 ms | _match total=26082 | byType={ Any:161, Lit:25921 }
(N=192) | pass | 1.64 ms | _match total=37442 | byType={ Any:193, Lit:37249 }
(N=256) | pass | 2.21 ms | _match total=66306 | byType={ Any:257, Lit:66049 }
(N=320) | pass | 4.83 ms | _match total=103362 | byType={ Any:321, Lit:103041 }
(N=384) | pass | 4.68 ms | _match total=148610 | byType={ Any:385, Lit:148225 }
(N=512) | pass | 6.14 ms | _match total=263682 | byType={ Any:513, Lit:263169 }
(N=640) | pass | 9.38 ms | _match total=411522 | byType={ Any:641, Lit:410881 }
(N=768) | pass | 13.54 ms | _match total=592130 | byType={ Any:769, Lit:591361 }
(N=1024) | pass | 24.05 ms | _match total=1051650 | byType={ Any:1025, Lit:1050625 }
(N=1280) | pass | 37.49 ms | _match total=1642242 | byType={ Any:1281, Lit:1640961 }
(N=1536) | pass | 53.51 ms | _match total=2363906 | byType={ Any:1537, Lit:2362369 }
(N=2048) | pass | 98.78 ms | _match total=4200450 | byType={ Any:2049, Lit:4198401 }
(N=2560) | pass | 148.19 ms | _match total=6561282 | byType={ Any:2561, Lit:6558721 }
(N=3072) | pass | 213.61 ms | _match total=9446402 | byType={ Any:3073, Lit:9443329 }
(N=4096) | pass | 377.63 ms | _match total=16789506 | byType={ Any:4097, Lit:16785409 }
