Scenario: "/a*b/" X "a".repeat(N) -> false
(N=1) | pass | 0.06 ms | _match total=6 | byType={ Any:2, Lit:4 }
(N=2) | pass | 0.01 ms | _match total=13 | byType={ Any:3, Lit:10 }
(N=3) | pass | 0.01 ms | _match total=24 | byType={ Any:4, Lit:20 }
(N=4) | pass | 0.01 ms | _match total=40 | byType={ Any:5, Lit:35 }
(N=6) | pass | 0.01 ms | _match total=91 | byType={ Any:7, Lit:84 }
(N=8) | pass | 0.02 ms | _match total=174 | byType={ Any:9, Lit:165 }
(N=10) | pass | 0.04 ms | _match total=297 | byType={ Any:11, Lit:286 }
(N=12) | pass | 0.05 ms | _match total=468 | byType={ Any:13, Lit:455 }
(N=16) | pass | 0.10 ms | _match total=986 | byType={ Any:17, Lit:969 }
(N=20) | pass | 0.17 ms | _match total=1792 | byType={ Any:21, Lit:1771 }
(N=24) | pass | 0.13 ms | _match total=2950 | byType={ Any:25, Lit:2925 }
(N=32) | pass | 0.20 ms | _match total=6578 | byType={ Any:33, Lit:6545 }
(N=40) | pass | 2.58 ms | _match total=12382 | byType={ Any:41, Lit:12341 }
(N=48) | pass | 0.65 ms | _match total=20874 | byType={ Any:49, Lit:20825 }
(N=64) | pass | 1.36 ms | _match total=47970 | byType={ Any:65, Lit:47905 }
(N=80) | pass | 2.50 ms | _match total=91962 | byType={ Any:81, Lit:91881 }
(N=96) | pass | 4.24 ms | _match total=156946 | byType={ Any:97, Lit:156849 }
(N=128) | pass | 9.67 ms | _match total=366274 | byType={ Any:129, Lit:366145 }
(N=160) | pass | 14.82 ms | _match total=708722 | byType={ Any:161, Lit:708561 }
(N=192) | pass | 25.07 ms | _match total=1217058 | byType={ Any:193, Lit:1216865 }
(N=256) | pass | 58.72 ms | _match total=2862466 | byType={ Any:257, Lit:2862209 }
(N=320) | pass | 113.59 ms | _match total=5564642 | byType={ Any:321, Lit:5564321 }
(N=384) | pass | 195.68 ms | _match total=9585730 | byType={ Any:385, Lit:9585345 }
(N=512) | pass | 473.18 ms | _match total=22633218 | byType={ Any:513, Lit:22632705 }
(N=640) | pass | 932.00 ms | _match total=44102082 | byType={ Any:641, Lit:44101441 }
(N=768) | pass | 1632.78 ms | _match total=76089474 | byType={ Any:769, Lit:76088705 }
(N=1024) | pass | 3691.25 ms | _match total=180008450 | byType={ Any:1025, Lit:180007425 }
(N=1280) | pass | 7377.02 ms | _match total=351167362 | byType={ Any:1281, Lit:351166081 }
(N=1536) | pass | 12813.09 ms | _match total=606343426 | byType={ Any:1537, Lit:606341889 }
(N=2048) | pass | 30423.73 ms | _match total=1435855874 | byType={ Any:2049, Lit:1435853825 }
(N=2560) | pass | 61151.47 ms | _match total=2802763522 | byType={ Any:2561, Lit:2802760961 }
(N=3072) | pass | 112226.85 ms | _match total=4841284098 | byType={ Any:3073, Lit:4841281025 }
(N=4096) | pass | 273771.19 ms | _match total=11470034946 | byType={ Any:4097, Lit:11470030849 }
